[12:09:23] [main/ERROR]: Failed to load properties from file: server.properties
[12:09:23] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[12:09:24] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:09:24] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:09:24] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:09:24] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:09:24] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:09:24] [main/INFO]: Reloading ResourceManager: Default
[12:09:25] [Worker-Main-14/INFO]: Loaded 7 recipes
[12:09:25] [Worker-Main-14/INFO]: Loaded 927 advancements
[12:09:27] [Server thread/INFO]: Starting minecraft server version 1.16.5
[12:09:27] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[12:09:27] [Server thread/INFO]: Loading properties
[12:09:27] [Server thread/INFO]: Default game type: SURVIVAL
[12:09:27] [Server thread/INFO]: Generating keypair
[12:09:27] [Server thread/INFO]: Starting Minecraft server on *:25565
[12:09:28] [Server thread/INFO]: Using default channel type
[12:09:29] [Server thread/INFO]: Preparing level "world"
[12:10:22] [Worker-Main-10/INFO]: Preparing spawn area: 10%
[12:10:23] [Worker-Main-10/INFO]: Preparing spawn area: 10%
[12:10:23] [Worker-Main-13/INFO]: Preparing spawn area: 10%
[12:10:24] [Worker-Main-15/INFO]: Preparing spawn area: 10%
[12:10:24] [Worker-Main-13/INFO]: Preparing spawn area: 10%
[12:10:25] [Worker-Main-13/INFO]: Preparing spawn area: 10%
[12:10:26] [Worker-Main-12/INFO]: Preparing spawn area: 10%
[12:10:26] [Worker-Main-11/INFO]: Preparing spawn area: 10%
[12:10:26] [Worker-Main-13/INFO]: Preparing spawn area: 10%
[12:10:27] [Worker-Main-12/INFO]: Preparing spawn area: 10%
[12:10:27] [Worker-Main-12/INFO]: Preparing spawn area: 10%
[12:10:28] [Worker-Main-11/INFO]: Preparing spawn area: 10%
[12:10:29] [Worker-Main-12/INFO]: Preparing spawn area: 10%
[12:10:29] [Worker-Main-8/INFO]: Preparing spawn area: 10%
[12:10:29] [Worker-Main-15/INFO]: Preparing spawn area: 10%
[12:10:30] [Worker-Main-8/INFO]: Preparing spawn area: 10%
[12:10:30] [Worker-Main-13/INFO]: Preparing spawn area: 10%
[12:10:31] [Worker-Main-13/INFO]: Preparing spawn area: 10%
[12:10:32] [Worker-Main-8/INFO]: Preparing spawn area: 10%
[12:10:32] [Worker-Main-11/INFO]: Preparing spawn area: 10%
[12:10:32] [Worker-Main-11/INFO]: Preparing spawn area: 15%
[12:10:33] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:33] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:34] [Worker-Main-10/INFO]: Preparing spawn area: 15%
[12:10:34] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:10:35] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:35] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:10:36] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:10:36] [Worker-Main-11/INFO]: Preparing spawn area: 15%
[12:10:37] [Worker-Main-11/INFO]: Preparing spawn area: 15%
[12:10:37] [Worker-Main-11/INFO]: Preparing spawn area: 15%
[12:10:38] [Worker-Main-11/INFO]: Preparing spawn area: 15%
[12:10:39] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:39] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:10:39] [Worker-Main-11/INFO]: Preparing spawn area: 15%
[12:10:40] [Worker-Main-13/INFO]: Preparing spawn area: 15%
[12:10:40] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:41] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:10:41] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[12:10:42] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[12:10:42] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:43] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[12:10:43] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:44] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:44] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:10:45] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:46] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[12:10:46] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:10:46] [Worker-Main-13/INFO]: Preparing spawn area: 15%
[12:10:47] [Worker-Main-11/INFO]: Preparing spawn area: 15%
[12:10:47] [Worker-Main-13/INFO]: Preparing spawn area: 15%
[12:10:48] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:10:49] [Worker-Main-11/INFO]: Preparing spawn area: 15%
[12:10:50] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:51] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:51] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:51] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:10:52] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:52] [Worker-Main-13/INFO]: Preparing spawn area: 15%
[12:10:52] [Worker-Main-13/INFO]: Preparing spawn area: 15%
[12:10:52] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:53] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:53] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:54] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[12:10:55] [Worker-Main-13/INFO]: Preparing spawn area: 15%
[12:10:55] [Worker-Main-11/INFO]: Preparing spawn area: 15%
[12:10:55] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[12:10:56] [Worker-Main-10/INFO]: Preparing spawn area: 15%
[12:10:56] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:57] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[12:10:57] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:58] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:58] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:10:59] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[12:10:59] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:11:00] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:11:00] [Worker-Main-11/INFO]: Preparing spawn area: 15%
[12:11:01] [Worker-Main-10/INFO]: Preparing spawn area: 15%
[12:11:01] [Worker-Main-11/INFO]: Preparing spawn area: 15%
[12:11:02] [Worker-Main-10/INFO]: Preparing spawn area: 15%
[12:11:02] [Worker-Main-11/INFO]: Preparing spawn area: 15%
[12:11:03] [Worker-Main-10/INFO]: Preparing spawn area: 15%
[12:11:04] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:11:04] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:11:04] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:11:05] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:11:05] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[12:11:06] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[12:11:06] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[12:11:07] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:11:08] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[12:11:08] [Worker-Main-10/INFO]: Preparing spawn area: 15%
[12:11:09] [Worker-Main-13/INFO]: Preparing spawn area: 15%
[12:11:09] [Worker-Main-10/INFO]: Preparing spawn area: 15%
[12:11:09] [Worker-Main-13/INFO]: Preparing spawn area: 15%
[12:11:10] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[12:11:10] [Worker-Main-11/INFO]: Preparing spawn area: 15%
[12:11:11] [Worker-Main-13/INFO]: Preparing spawn area: 15%
[12:11:11] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[12:11:12] [Worker-Main-13/INFO]: Preparing spawn area: 15%
[12:11:13] [Worker-Main-9/INFO]: Preparing spawn area: 16%
[12:11:13] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[12:11:14] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[12:11:14] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[12:11:14] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:15] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:15] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:16] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[12:11:16] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[12:11:17] [Worker-Main-10/INFO]: Preparing spawn area: 23%
[12:11:18] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:18] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:18] [Worker-Main-10/INFO]: Preparing spawn area: 23%
[12:11:19] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:20] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:20] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:20] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:21] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:21] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:22] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[12:11:23] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:23] [Worker-Main-10/INFO]: Preparing spawn area: 23%
[12:11:23] [Worker-Main-10/INFO]: Preparing spawn area: 23%
[12:11:24] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:25] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:25] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:25] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:26] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:28] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:28] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:28] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:28] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:29] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:29] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:29] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:30] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:31] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[12:11:31] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:31] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:32] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:32] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:33] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:34] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:34] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:34] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:35] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:35] [Worker-Main-10/INFO]: Preparing spawn area: 23%
[12:11:36] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:36] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:37] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:38] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:38] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:38] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:39] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:39] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:40] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:41] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:41] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:41] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:42] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:42] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:43] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:44] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:44] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:45] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:45] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:45] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:46] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[12:11:46] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:47] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:47] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:48] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:49] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:49] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[12:11:49] [Worker-Main-10/INFO]: Preparing spawn area: 23%
[12:11:50] [Worker-Main-10/INFO]: Preparing spawn area: 23%
[12:11:50] [Worker-Main-10/INFO]: Preparing spawn area: 23%
[12:11:51] [Worker-Main-8/INFO]: Preparing spawn area: 23%
[12:11:51] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:52] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:52] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:53] [Worker-Main-10/INFO]: Preparing spawn area: 23%
[12:11:54] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:54] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:54] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:55] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:55] [Worker-Main-11/INFO]: Preparing spawn area: 23%
[12:11:56] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:56] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:57] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[12:11:57] [Worker-Main-13/INFO]: Preparing spawn area: 23%
[12:11:58] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:58] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[12:11:59] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:11:59] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:12:00] [Worker-Main-15/INFO]: Preparing spawn area: 23%
[12:12:01] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[12:12:01] [Worker-Main-12/INFO]: Preparing spawn area: 32%
[12:12:01] [Worker-Main-12/INFO]: Preparing spawn area: 32%
[12:12:02] [Worker-Main-12/INFO]: Preparing spawn area: 32%
[12:12:02] [Worker-Main-10/INFO]: Preparing spawn area: 32%
[12:12:03] [Worker-Main-10/INFO]: Preparing spawn area: 32%
[12:12:03] [Worker-Main-10/INFO]: Preparing spawn area: 32%
[12:12:04] [Worker-Main-10/INFO]: Preparing spawn area: 32%
[12:12:04] [Worker-Main-15/INFO]: Preparing spawn area: 32%
[12:12:05] [Worker-Main-15/INFO]: Preparing spawn area: 32%
[12:12:05] [Worker-Main-9/INFO]: Preparing spawn area: 32%
[12:12:06] [Worker-Main-15/INFO]: Preparing spawn area: 32%
[12:12:06] [Worker-Main-11/INFO]: Preparing spawn area: 32%
[12:12:07] [Worker-Main-10/INFO]: Preparing spawn area: 32%
[12:12:07] [Worker-Main-8/INFO]: Preparing spawn area: 33%
[12:12:08] [Worker-Main-11/INFO]: Preparing spawn area: 33%
[12:12:09] [Worker-Main-10/INFO]: Preparing spawn area: 33%
[12:12:09] [Worker-Main-13/INFO]: Preparing spawn area: 33%
[12:12:09] [Worker-Main-12/INFO]: Preparing spawn area: 33%
[12:12:10] [Worker-Main-12/INFO]: Preparing spawn area: 33%
[12:12:11] [Worker-Main-8/INFO]: Preparing spawn area: 33%
[12:12:11] [Worker-Main-8/INFO]: Preparing spawn area: 33%
[12:12:11] [Worker-Main-12/INFO]: Preparing spawn area: 33%
[12:12:12] [Worker-Main-9/INFO]: Preparing spawn area: 33%
[12:12:12] [Worker-Main-12/INFO]: Preparing spawn area: 33%
[12:12:13] [Worker-Main-13/INFO]: Preparing spawn area: 33%
[12:12:14] [Worker-Main-15/INFO]: Preparing spawn area: 33%
[12:12:14] [Worker-Main-12/INFO]: Preparing spawn area: 33%
[12:12:14] [Worker-Main-10/INFO]: Preparing spawn area: 33%
[12:12:15] [Worker-Main-13/INFO]: Preparing spawn area: 33%
[12:12:15] [Worker-Main-13/INFO]: Preparing spawn area: 33%
[12:12:16] [Worker-Main-13/INFO]: Preparing spawn area: 33%
[12:12:16] [Worker-Main-11/INFO]: Preparing spawn area: 33%
[12:12:17] [Worker-Main-11/INFO]: Preparing spawn area: 33%
[12:12:18] [Worker-Main-15/INFO]: Preparing spawn area: 33%
[12:12:18] [Worker-Main-15/INFO]: Preparing spawn area: 34%
[12:12:18] [Worker-Main-13/INFO]: Preparing spawn area: 34%
[12:12:19] [Worker-Main-13/INFO]: Preparing spawn area: 34%
[12:12:20] [Worker-Main-12/INFO]: Preparing spawn area: 34%
[12:12:20] [Worker-Main-12/INFO]: Preparing spawn area: 34%
[12:12:20] [Worker-Main-13/INFO]: Preparing spawn area: 34%
[12:12:21] [Worker-Main-11/INFO]: Preparing spawn area: 34%
[12:12:22] [Worker-Main-12/INFO]: Preparing spawn area: 34%
[12:12:22] [Worker-Main-12/INFO]: Preparing spawn area: 34%
[12:12:22] [Worker-Main-11/INFO]: Preparing spawn area: 34%
[12:12:23] [Worker-Main-13/INFO]: Preparing spawn area: 34%
[12:12:23] [Worker-Main-11/INFO]: Preparing spawn area: 34%
[12:12:24] [Worker-Main-15/INFO]: Preparing spawn area: 34%
[12:12:24] [Worker-Main-15/INFO]: Preparing spawn area: 34%
[12:12:25] [Worker-Main-12/INFO]: Preparing spawn area: 34%
[12:12:25] [Worker-Main-12/INFO]: Preparing spawn area: 34%
[12:12:26] [Worker-Main-13/INFO]: Preparing spawn area: 34%
[12:12:26] [Worker-Main-9/INFO]: Preparing spawn area: 34%
[12:12:27] [Worker-Main-12/INFO]: Preparing spawn area: 34%
[12:12:27] [Worker-Main-13/INFO]: Preparing spawn area: 34%
[12:12:28] [Worker-Main-12/INFO]: Preparing spawn area: 34%
[12:12:29] [Worker-Main-11/INFO]: Preparing spawn area: 34%
[12:12:29] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:12:29] [Worker-Main-15/INFO]: Preparing spawn area: 34%
[12:12:30] [Worker-Main-9/INFO]: Preparing spawn area: 34%
[12:12:31] [Worker-Main-11/INFO]: Preparing spawn area: 34%
[12:12:31] [Worker-Main-9/INFO]: Preparing spawn area: 34%
[12:12:31] [Worker-Main-11/INFO]: Preparing spawn area: 34%
[12:12:32] [Worker-Main-9/INFO]: Preparing spawn area: 34%
[12:12:33] [Worker-Main-13/INFO]: Preparing spawn area: 34%
[12:12:33] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:12:33] [Worker-Main-11/INFO]: Preparing spawn area: 34%
[12:12:34] [Worker-Main-11/INFO]: Preparing spawn area: 34%
[12:12:35] [Worker-Main-11/INFO]: Preparing spawn area: 34%
[12:12:35] [Worker-Main-13/INFO]: Preparing spawn area: 34%
[12:12:35] [Worker-Main-9/INFO]: Preparing spawn area: 34%
